air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
NO2,ug/m3,15.428,Background,2023,Portugal,Southern Europe,38.57000000000001,PT,5.428000000000001
PM2.5,ug/m3,14.112,Traffic,2023,Slovakia,Eastern Europe,56.448,SK,9.112
PM10,ug/m3,20.011,Industrial,2023,Spain,Southern Europe,50.0275,ES,5.010999999999999
NO2,ug/m3,9.587,Background,2023,Poland,Eastern Europe,23.9675,PL,0.0
PM10,ug/m3,18.724,Background,2023,Spain,Southern Europe,46.81,ES,3.724
PM10,ug/m3,7.863,Background,2023,Spain,Southern Europe,19.6575,ES,0.0
NO2,ug/m3,11.57,Background,2023,France,Western Europe,28.925,FR,1.5700000000000003
PM2.5,ug/m3,7.895,Background,2023,Slovakia,Eastern Europe,31.58,SK,2.8949999999999996
NO2,ug/m3,11.007,Traffic,2023,Portugal,Southern Europe,27.5175,PT,1.0069999999999997
NO2,ug/m3,29.029,Background,2023,France,Western Europe,72.57249999999999,FR,19.029
PM10,ug/m3,12.421,Background,2023,Spain,Southern Europe,31.0525,ES,0.0
NO2,ug/m3,15.06,Background,2023,France,Western Europe,37.65,FR,5.0600000000000005
PM2.5,ug/m3,13.802,Background,2023,Slovenia,Southern Europe,55.208,SI,8.802
PM2.5,ug/m3,15.176,Traffic,2023,Slovenia,Southern Europe,60.704,SI,10.176
NO2,ug/m3,3.929,Background,2023,Portugal,Southern Europe,9.8225,PT,0.0
PM2.5,ug/m3,11.535,Traffic,2023,Slovakia,Eastern Europe,46.14,SK,6.535
NO2,ug/m3,7.562,Background,2023,France,Western Europe,18.905,FR,0.0
NO2,ug/m3,12.343,Traffic,2023,Portugal,Southern Europe,30.8575,PT,2.343
PM2.5,ug/m3,10.436,Background,2023,Slovakia,Eastern Europe,41.744,SK,5.436
NO2,ug/m3,3.58,Background,2023,France,Western Europe,8.95,FR,0.0
NO2,ug/m3,18.419,Background,2023,France,Western Europe,46.0475,FR,8.419
PM10,ug/m3,17.343,Industrial,2023,Spain,Southern Europe,43.3575,ES,2.343
NO2,ug/m3,15.843,Background,2023,France,Western Europe,39.6075,FR,5.843
NO2,ug/m3,9.832,Background,2023,France,Western Europe,24.58,FR,0.0
