geo_code,region,ig_label,country,year,num_deaths,population,GNI_per_capita_wb_Atlas_USD_EUR,people_affected,total_death_attributed_sex_standarized
BG,Eastern Europe,UM,Bulgaria,2014.0,27132.0,14491354.0,5591.0,27132.0,10.0
BG,Eastern Europe,UM,Bulgaria,2015.0,26706.0,14404396.0,6120.0,26706.0,9.0
BG,Eastern Europe,UM,Bulgaria,2016.0,26185.0,14307568.0,6807.0,26185.0,9.0
BG,Eastern Europe,UM,Bulgaria,2017.0,26395.0,14203718.0,7229.0,26395.0,9.0
BG,Eastern Europe,UM,Bulgaria,2018.0,25569.0,14100068.0,7121.0,25569.0,9.0
BG,Eastern Europe,UM,Bulgaria,2019.0,25913.0,14000078.0,8306.0,25913.0,9.0
BY,Eastern Europe,LM,Belarus,2006.0,10441.0,19501080.0,2976.0,10441.0,10.0
BY,Eastern Europe,UM,Belarus,2007.0,9796.0,19428922.0,3273.0,9796.0,10.0
BY,Eastern Europe,UM,Belarus,2008.0,9949.0,19379540.0,3716.0,9949.0,10.0
BY,Eastern Europe,UM,Belarus,2009.0,10159.0,19343824.0,4067.0,10159.0,10.0
BY,Eastern Europe,UM,Belarus,2011.0,10208.0,18962386.0,4745.0,10208.0,10.0
BY,Eastern Europe,UM,Belarus,2012.0,8898.0,18930300.0,5125.0,8898.0,9.0
BY,Eastern Europe,UM,Belarus,2013.0,8352.0,18927680.0,5329.0,8352.0,9.0
BY,Eastern Europe,UM,Belarus,2014.0,7969.0,18936308.0,5526.0,7969.0,9.0
BY,Eastern Europe,UM,Belarus,2015.0,7722.0,18961736.0,5560.0,7722.0,8.0
BY,Eastern Europe,UM,Belarus,2016.0,7504.0,18996728.0,5181.0,7504.0,8.0
BY,Eastern Europe,UM,Belarus,2017.0,7426.0,19009408.0,5047.0,7426.0,7.0
BY,Eastern Europe,UM,Belarus,2018.0,7264.0,18983646.0,4778.0,7264.0,7.0
BY,Eastern Europe,UM,Belarus,2019.0,7368.0,18950348.0,5564.0,7368.0,7.0
CH,Western Europe,H,Switzerland,1995.0,13286.0,14038038.0,42431.0,13286.0,6.0
CH,Western Europe,H,Switzerland,1996.0,12967.0,14124708.0,44923.0,12967.0,6.0
CH,Western Europe,H,Switzerland,1997.0,12510.0,14162692.0,44376.0,12510.0,5.0
CH,Western Europe,H,Switzerland,1998.0,12421.0,14192930.0,41340.0,12421.0,5.0
